count,order,family,genus,level,genus_species,ID,in_refdb
46,Perciformes,Chaetodontidae,Chaetodon,SPECIES,Chaetodon ocellatus,2385448,MATCH
45,Cypriniformes,Catostomidae,Erimyzon,SPECIES,Erimyzon oblongus,2358941,MATCH
44,Cypriniformes,Cyprinidae,Rhinichthys,SPECIES,Rhinichthys cataractae,2359811,MATCH
43,Cypriniformes,Cyprinidae,Notropis,SPECIES,Notropis procne,2362157,NO MATCH
42,Perciformes,Blenniidae,Hypsoblennius,SPECIES,Hypsoblennius hentz,2395566,MATCH
42,Perciformes,Sparidae,Lagodon,SPECIES,Lagodon rhomboides,2392516,MATCH
40,Cyprinodontiformes,Fundulidae,Lucania,SPECIES,Lucania parva,2349567,MATCH
40,Siluriformes,Ictaluridae,Noturus,SPECIES,Noturus gyrinus,2341016,MATCH
39,Esociformes,Esocidae,Esox,SPECIES,Esox americanus,4284046,MATCH
38,Perciformes,Uranoscopidae,Astroscopus,SPECIES,Astroscopus guttatus,2394348,NO MATCH
37,Gadiformes,Gadidae,Microgadus,SPECIES,Microgadus tomcod,2415893,MATCH
37,Perciformes,Gobiidae,Gobiosoma,SPECIES,Gobiosoma bosc,5208832,MATCH
36,Perciformes,Coryphaenidae,Coryphaena,SPECIES,Coryphaena hippurus,2381939,MATCH
35,Mugiliformes,Mugilidae,Mugil,SPECIES,Mugil curema,2400641,MATCH
35,Perciformes,Carangidae,Selene,SPECIES,Selene setapinnis,2390733,MATCH
35,Scorpaeniformes,Liparidae,Liparis,SPECIES,Liparis inquilinus,5201465,MATCH
34,Carcharhiniformes,Carcharhinidae,Prionace,SPECIES,Prionace glauca,2417940,MATCH
33,Esociformes,Esocidae,Esox,SPECIES,Esox lucius,2346633,MATCH
33,Myctophiformes,Myctophidae,Diaphus,SPECIES,Diaphus dumerilii,2406248,NO MATCH
33,Perciformes,Centrarchidae,Enneacanthus,SPECIES,Enneacanthus chaetodon,2394547,NO MATCH
32,Cypriniformes,Cyprinidae,Cyprinella,SPECIES,Cyprinella analostana,5207658,MATCH
32,Perciformes,Acropomatidae,Synagrops,SPECIES,Synagrops bella,2381532,NO MATCH
32,Perciformes,Ammodytidae,Ammodytes,SPECIES,Ammodytes americanus,2389998,MATCH
32,Perciformes,Zoarcidae,Lycenchelys,SPECIES,Lycenchelys verrilli,2380616,NO MATCH
31,Perciformes,Priacanthidae,Pristigenys,SPECIES,Pristigenys alta,2375079,NO MATCH
31,Pleuronectiformes,Cynoglossidae,Symphurus,SPECIES,Symphurus diomedeanus,2409438,NO MATCH
31,Scorpaeniformes,Sebastidae,Sebastes,SPECIES,Sebastes fasciatus,10689065,MATCH
30,Perciformes,Scombridae,Thunnus,SPECIES,Thunnus thynnus,2373980,MATCH
30,Perciformes,Stichaeidae,Eumesogrammus,SPECIES,Eumesogrammus praecisus,2394920,MATCH
30,Percopsiformes,Aphredoderidae,Aphredoderus,SPECIES,Aphredoderus sayanus,2401749,MATCH
30,Siluriformes,Ictaluridae,Noturus,SPECIES,Noturus insignis,2341009,MATCH
9,Aulopiformes,Bathysauridae,Bathysaurus,SPECIES,Bathysaurus ferox,2401415,MATCH
9,Chimaeriformes,Rhinochimaeridae,Rhinochimaera,SPECIES,Rhinochimaera atlantica,2417443,MATCH
9,Perciformes,Carangidae,Seriola,SPECIES,Seriola rivoliana,5961682,MATCH
9,Perciformes,Carangidae,Trachurus,SPECIES,Trachurus lathami,5210468,MATCH
9,Perciformes,Centrolophidae,Hyperoglyphe,SPECIES,Hyperoglyphe perciformis,2398160,NO MATCH
8,Aulopiformes,Synodontidae,Synodus,SPECIES,Trachinocephalus myops,2401159,MATCH
8,Cypriniformes,Cyprinidae,Cyprinella,SPECIES,Cyprinella spiloptera,5207691,MATCH
8,Carcharhiniformes,Carcharhinidae,Galeocerdo,SPECIES,Galeocerdo cuvier,2418234,MATCH
8,Carcharhiniformes,Scyliorhinidae,Apristurus,SPECIES,Apristurus laurussoni,2418468,NO MATCH
8,Myxiniformes,Myxinidae,Myxine,SPECIES,Myxine limosa,2498683,NO MATCH
8,Ophidiiformes,Ophidiidae,Dicrolene,SPECIES,Dicrolene introniger,2346047,NO MATCH
8,Osmeriformes,Alepocephalidae,Rouleina,SPECIES,Rouleina attrita,5214370,MATCH
8,Perciformes,Centrarchidae,Lepomis,SPECIES,Lepomis gulosus,2394507,MATCH
8,Perciformes,Pholidae,Pholis,SPECIES,Pholis fasciata,5210413,MATCH
8,Perciformes,Scombridae,Scomberomorus,SPECIES,Scomberomorus maculatus,2374268,MATCH
8,Pleuronectiformes,Paralichthyidae,Hippoglossina,SPECIES,Paralichthys oblongus,2408807,NO MATCH
8,Salmoniformes,Salmonidae,Oncorhynchus,SPECIES,Oncorhynchus nerka,5204039,MATCH
8,Scorpaeniformes,Liparidae,Careproctus,SPECIES,Careproctus ranula,2336141,NO MATCH
8,Stomiiformes,Gonostomatidae,Sigmops,SPECIES,Gonostoma bathyphilum,5203368,NO MATCH
7,Aulopiformes,Notosudidae,Scopelosaurus,SPECIES,Scopelosaurus lepidus,2401058,MATCH
7,Cypriniformes,Cyprinidae,Exoglossum,SPECIES,Exoglossum maxillingua,2361987,MATCH
7,Myliobatiformes,Myliobatidae,Mobula,SPECIES,Mobula birostris,9548142,MATCH
7,Gadiformes,Macrouridae,Malacocephalus,SPECIES,Malacocephalus occidentalis,5215097,MATCH
7,Notacanthiformes,Halosauridae,Aldrovandia,SPECIES,Aldrovandia affinis,5213262,MATCH
7,Perciformes,Chiasmodontidae,Chiasmodon,SPECIES,Chiasmodon niger,2394676,MATCH
7,Perciformes,Serranidae,Hyporthodus,SPECIES,Hyporthodus niveatus,5788225,MATCH
7,Perciformes,Trichiuridae,Trichiurus,SPECIES,Trichiurus lepturus,2389407,MATCH
7,Petromyzontiformes,Petromyzontidae,Lethenteron,SPECIES,Lethenteron appendix,2421396,NO MATCH
