28,Cypriniformes,Cyprinidae,Pimephales,SPECIES,Pimephales promelas,2367742
1,Cypriniformes,Cyprinidae,Rhinichthys,GENUS,Rhinichthys,2359788
271,Cypriniformes,Cyprinidae,Rhinichthys,SPECIES,Rhinichthys atratulus,2359823
44,Cypriniformes,Cyprinidae,Rhinichthys,SPECIES,Rhinichthys cataractae,2359811
1,Cypriniformes,Cyprinidae,Semotilus,GENUS,Semotilus,2349566
249,Cypriniformes,Cyprinidae,Semotilus,SPECIES,Semotilus atromaculatus,2360481
148,Cypriniformes,Cyprinidae,Semotilus,SPECIES,Semotilus corporalis,2360492
184,Cyprinodontiformes,Cyprinodontidae,Cyprinodon,SPECIES,Cyprinodon variegatus,4284440
3,Cyprinodontiformes,Cyprinodontidae,Cyprinodon,SUBSPECIES,Cyprinodon variegatus variegatus,7059138
314,Cyprinodontiformes,Fundulidae,Fundulus,SPECIES,Fundulus diaphanus,5712054
28,Cyprinodontiformes,Fundulidae,Fundulus,SUBSPECIES,Fundulus diaphanus diaphanus,7193435
632,Cyprinodontiformes,Fundulidae,Fundulus,SPECIES,Fundulus heteroclitus,5712056
18,Cyprinodontiformes,Fundulidae,Fundulus,SPECIES,Fundulus luciae,5203663
309,Cyprinodontiformes,Fundulidae,Fundulus,SPECIES,Fundulus majalis,5203628
5,Cyprinodontiformes,Fundulidae,Fundulus,GENUS,Fundulus,2347676
40,Cyprinodontiformes,Fundulidae,Lucania,SPECIES,Lucania parva,2349567
68,Cyprinodontiformes,Poeciliidae,Gambusia,SPECIES,Gambusia affinis,2350580
134,Cyprinodontiformes,Poeciliidae,Gambusia,SPECIES,Gambusia holbrooki,2350570
17,Cyprinodontiformes,Poeciliidae,Gambusia,GENUS,Gambusia,2349552
2,Cyprinodontiformes,Poeciliidae,Poecilia,SPECIES,Poecilia reticulata,2350050
1,Carcharhiniformes,Carcharhinidae,Carcharhinus,SPECIES,Carcharhinus acronotus,2418144
1,Carcharhiniformes,Carcharhinidae,Carcharhinus,SPECIES,Carcharhinus brevipinna,2417983
2,Carcharhiniformes,Carcharhinidae,Carcharhinus,SPECIES,Carcharhinus limbatus,2417970
24,Carcharhiniformes,Carcharhinidae,Carcharhinus,SPECIES,Carcharhinus plumbeus,2418009
8,Carcharhiniformes,Carcharhinidae,Galeocerdo,SPECIES,Galeocerdo cuvier,2418234
34,Carcharhiniformes,Carcharhinidae,Prionace,SPECIES,Prionace glauca,2417940
8,Carcharhiniformes,Scyliorhinidae,Apristurus,SPECIES,Apristurus laurussoni,2418468
6,Carcharhiniformes,Scyliorhinidae,Apristurus,SPECIES,Apristurus profundorum,2418478
11,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,SPECIES,Scyliorhinus retifer,2418664
1,Carcharhiniformes,Sphyrnidae,Sphyrna,GENUS,Sphyrna,2418788
